timestamp,e2e_latency_ms,fps
2026-02-12T05:58:25.807114,19.37,51.15
2026-02-12T05:58:25.824191,24.14,41.19
2026-02-12T05:58:25.849331,16.95,58.59
2026-02-12T05:58:25.881601,16.23,61.25
2026-02-12T05:58:25.918686,19.37,51.36
2026-02-12T05:58:25.955488,24.17,41.14
2026-02-12T05:58:25.988638,22.99,43.30
2026-02-12T05:58:26.026973,29.63,33.46
2026-02-12T05:58:26.058405,25.57,38.16
2026-02-12T05:58:26.090179,24.43,40.72
2026-02-12T05:58:26.131826,31.37,31.67
2026-02-12T05:58:26.158915,26.77,37.05
2026-02-12T05:58:26.192513,29.05,34.26
2026-02-12T05:58:26.216708,19.50,50.98
2026-02-12T05:58:26.257332,27.41,36.22
2026-02-12T05:58:26.294567,28.38,35.10
2026-02-12T05:58:26.325750,25.00,39.81
2026-02-12T05:58:26.366124,32.16,30.98
2026-02-12T05:58:26.395102,28.04,35.52
2026-02-12T05:58:26.421717,21.18,46.94
2026-02-12T05:58:26.460866,28.10,35.20
2026-02-12T05:58:26.500453,26.43,37.47
2026-02-12T05:58:26.525512,23.33,42.65
2026-02-12T05:58:26.562345,28.34,35.05
2026-02-12T05:58:26.588437,22.57,44.08
2026-02-12T05:58:26.620885,21.46,46.35
2026-02-12T05:58:26.659122,24.52,40.61
2026-02-12T05:58:26.689077,22.07,45.11
2026-02-12T05:58:26.721391,19.90,49.97
2026-02-12T05:58:26.751512,19.26,51.62
2026-02-12T05:58:26.788461,24.03,41.45
2026-02-12T05:58:26.819752,20.16,49.38
2026-02-12T05:58:26.857477,19.68,50.48
2026-02-12T05:58:26.887348,21.02,47.34
2026-02-12T05:58:26.928911,24.41,40.80
2026-02-12T05:58:26.956943,19.85,49.87
2026-02-12T05:58:26.998458,20.88,47.65
2026-02-12T05:58:27.024788,20.43,48.74
2026-02-12T05:58:27.046921,17.00,58.52
2026-02-12T05:58:27.098856,23.65,42.13
2026-02-12T05:58:27.118553,17.38,57.25
2026-02-12T05:58:27.153306,21.22,46.91
2026-02-12T05:58:27.191829,19.03,52.24
2026-02-12T05:58:27.222237,19.52,50.98
2026-02-12T05:58:27.249341,20.87,47.69
2026-02-12T05:58:27.288250,20.63,48.20
2026-02-12T05:58:27.322716,24.14,41.25
2026-02-12T05:58:27.352120,19.92,49.98
2026-02-12T05:58:27.388259,23.34,42.64
2026-02-12T05:58:27.420553,22.33,44.59
2026-02-12T05:58:27.461453,23.22,42.88
2026-02-12T05:58:27.489499,23.38,42.57
2026-02-12T05:58:27.523783,26.14,38.12
2026-02-12T05:58:27.547915,19.31,51.45
2026-02-12T05:58:27.587247,20.67,48.02
2026-02-12T05:58:27.623084,25.70,38.73
2026-02-12T05:58:27.656524,24.70,40.27
2026-02-12T05:58:27.695348,28.49,34.83
2026-02-12T05:58:27.730862,33.84,29.38
2026-02-12T05:58:27.765093,21.53,46.21
2026-02-12T05:58:27.797498,27.03,36.70
2026-02-12T05:58:27.828830,27.43,36.16
2026-02-12T05:58:27.867647,26.64,37.32
2026-02-12T05:58:27.892546,22.65,43.83
2026-02-12T05:58:27.931319,27.24,36.50
2026-02-12T05:58:27.970852,27.58,36.05
2026-02-12T05:58:27.993324,19.96,49.81
2026-02-12T05:58:28.028705,22.30,44.62
2026-02-12T05:58:28.062156,21.07,47.19
2026-02-12T05:58:28.098215,23.56,42.24
2026-02-12T05:58:28.132947,24.48,40.65
